,Abkhazian,Adyghe,Albanian,Armenian,Azeri,Balkar,Basque_France,Basque_France_inferred,Basque_Spain,Basque_Spain_inferred,Belarusian,Belgian,Bosniak,Bulgarian,Canary_Islander,Chechen,Corsican,Croatian,Cypriot,Czech,Danish,Druze,Dutch,English,Estonian,Finnish,French,Gagauz,Georgian,German,Greek,Hungarian,Icelandic,Ingrian,Irish,Italian,Kabardian,Karelian,Kosovan,Kumyk,Lak_Dagestan,Latvian,Lebanese_Christian,Lezgin,Lithuanian,Macedonian,Moldovan,Montenegrin,Mordvin,North_Ossetian,Northern_Irish,Norwegian,Orcadian,Polish,Portuguese,Romanian,Russian,Saami_Finland_inferred,Saami_Norway_inferred,Saami_Sweden_inferred,Sardinian,Scottish,Serbian,Slovakian,Slovenian,Spanish,Swedish,Tabasaran,Turkish,Ukrainian,Veps,Welsh
LUN100,6.370089931149926e-233,5.288499391795786e-223,,6.311753235203692e-108,0.0,1.543291173601661e-106,3.407043193559862e-71,,0.0,,4.3710311755341976e-101,0.22762955837808482,1.549312563987108e-94,2.4518337971256276e-36,,9.041982221372643e-123,2.103570983726224e-35,9.858928280615616e-21,0.0,2.6157845510657204e-16,4.926890108083191e-14,0.0,0.02775386069135504,0.001668513250116812,2.1461231854890604e-56,4.426563798718533e-50,0.6885399479625441,4.553360585013465e-252,3.455020986790694e-126,0.046944216957100805,2.31634305216957e-56,3.2388467195684615e-31,1.3677214793379245e-27,,2.945518518159342e-08,1.2388168367400189e-05,,1.083072886680481e-229,0.0,2.2811134128189945e-122,0.0,0.0,0.0,3.945141411281949e-306,2.215780225996136e-36,2.8132420685555083e-122,0.0,3.336697140912802e-263,8.20535666520234e-119,0.0,1.2765892668823763e-06,8.201601138830042e-11,7.669946288843752e-18,1.7594553186860124e-18,0.0,1.273231030350477e-27,6.959241323565736e-87,6.212376365154187e-302,0.0,,2.2344898342157934e-189,3.093348491105212e-11,1.8236144203055551e-100,2.2716528748308858e-118,3.197899899731005e-15,4.634993057907729e-15,3.834168347278254e-21,,8.365900168793127e-88,3.191194568400969e-47,0.0,0.002779528467904268
LUN101,2.243109308074407e-55,4.369205811519433e-27,,6.938263815649002e-30,0.0,6.696514983560809e-68,0.0,,0.0,,0.0,6.264968073070951e-183,1.0859016025738697e-290,1.0697467725420677e-174,,1.6912033783039696e-91,0.0,2.3442902673199187e-126,0.0,9.968700838558785e-94,1.3286665214541687e-119,0.0,5.03469906968808e-174,2.219733187347384e-208,0.0014695783998337924,2.904372711700235e-17,1.2318125815268353e-166,0.0,1.505058552138268e-58,1.2977391751764473e-76,8.746420218109617e-108,5.694999086161877e-116,1.408495745442772e-134,0.0,7.261582992865747e-194,1.0182405033830206e-158,,7.338682960335877e-06,0.0,2.1043705833036204e-199,0.0,0.0,0.0,0.0,6.362656357400384e-66,2.987291860903511e-102,0.0,3.6470619249283625e-199,1.8094014373080544e-64,0.0,2.2916173755034896e-246,2.6735417213074907e-40,0.0,1.0532926925569044e-63,0.0,3.558258979430257e-272,6.414035960627847e-07,3.129040825870325e-41,0.0,,0.0,6.565607301592544e-268,0.0,2.6219782846356802e-168,7.594147586651435e-124,6.269026039797325e-251,3.0065711275491238e-21,,6.66606372575289e-100,3.506757428490471e-70,2.97877779724488e-07,2.4225451212095736e-231
LUN102,6.505937878516845e-213,0.0,,5.24182966915724e-150,0.0,1.4059177653956694e-106,3.4121489465690755e-160,,0.0,0.0,5.10498691572142e-97,1.0859096918083292e-16,2.750527541967039e-99,4.137802319490541e-77,,4.084996160178897e-173,9.407744243965705e-127,1.1087495476201838e-46,0.0,1.9679764683094182e-41,0.000349652932244687,0.0,1.1310737181135026e-11,7.863259081785217e-15,8.919420714240451e-38,2.4483871832432263e-10,6.941751241060974e-17,5.843916968482393e-254,1.0880057625801967e-114,1.1434719386155784e-09,3.1147483187296586e-97,3.742030633350213e-17,5.874270975477135e-06,,4.409750074992136e-24,8.290570152222885e-38,,6.284087364481076e-181,0.0,3.991652807286952e-142,0.0,0.0,0.0,0.0,4.758078614015265e-52,5.225106672677e-311,0.0,9.381917606586415e-167,1.1075927066092392e-212,0.0,1.2989756462750605e-17,0.3263414167104283,5.07477313415633e-41,9.206089330539828e-30,0.0,8.776738864449724e-100,9.213615217722339e-94,3.008398376767974e-188,0.0,,0.0,1.2902468527505193e-31,1.2821556166856769e-188,1.5463736927075498e-83,8.276028774481853e-92,9.715165276949348e-75,0.20520233636673313,,6.386138153737926e-135,2.170357631411905e-127,0.0,8.828291388587183e-16
LUN103,2.101790984038233e-184,9.239761934631113e-299,,1.4855428039776173e-122,0.0,8.200373787283365e-82,5.727823278728204e-128,,0.0,0.0,7.9144173502603905e-106,0.00170991718754311,3.261467915344988e-61,4.425930188745381e-49,,8.262963330668494e-126,2.074277606706852e-99,4.079757614725929e-23,0.0,1.2738300995812507e-22,0.5977128026850169,0.0,0.09024149840984828,0.001249052860133488,1.0576194541195209e-30,6.825439108973574e-14,0.00011794093074842984,4.5631523624104137e-259,6.449113294431575e-116,0.6600843357992978,7.218529911091302e-66,9.153425781744551e-12,5.69519369534409e-07,,2.8014586174222996e-10,5.154261212517635e-16,,2.816994029184138e-149,0.0,2.2881033168715363e-137,0.0,0.0,0.0,0.0,3.972589413835157e-35,7.474809981358197e-166,0.0,1.435253438021772e-91,1.0232882505493138e-154,0.0,1.216832672302978e-05,0.028239598361578067,7.984193477813763e-20,4.2581773876419887e-14,0.0,2.8932152188857106e-49,3.388837910579802e-74,9.022472937388729e-160,0.0,,8.610505778202431e-267,7.4122301163339e-07,5.106651320253605e-119,7.752905030896205e-61,5.160970641573771e-45,1.6516001425566325e-43,0.0291380088254188,,1.4022498841726457e-94,4.474186496165946e-68,0.0,0.00238791321203922
LUN104,3.600959056903642e-220,1.24698775439138e-309,,9.111163466264926e-143,0.0,1.7331968783516236e-106,5.0285500801796926e-133,,0.0,0.0,1.4480460537250484e-147,0.0037495219877676264,4.5500727079150084e-85,1.2402510253352874e-64,,8.578269417276465e-130,2.1757119812839586e-88,1.285827463083513e-31,0.0,6.279642364811406e-34,0.4270178556720785,0.0,0.3459922115976692,0.01092897955940763,1.5585771468005532e-35,9.96985643631357e-18,0.0009740840740584736,1.0353664906265712e-269,9.876533636626167e-146,0.1918959661239506,3.191908470645258e-84,5.1218737442404955e-14,0.0003495850967601737,,2.1006076713802772e-08,2.0499727547524834e-18,,5.2034013243829475e-157,0.0,4.047101235479379e-149,0.0,0.0,0.0,0.0,8.923819228086398e-43,3.829628670132851e-231,0.0,9.920943880508365e-156,8.401246697100102e-158,0.0,5.9123266235587514e-05,0.15724416398343305,1.828728627352001e-14,3.487107200530045e-19,0.0,1.6535892517545165e-76,2.9609824650334085e-89,1.5099243697459603e-191,0.0,,1.0509908414556904e-274,3.218019661500766e-06,5.301696161689311e-140,3.526632142724133e-78,1.7571616877701875e-74,1.6585654296870002e-45,0.004387511728572686,,1.362010849379894e-128,9.968474485349332e-81,0.0,0.01703493664862988
LUN105,7.772755587536235e-196,4.498160732032609e-241,,6.151023206856754e-112,0.0,1.6209690036776714e-86,1.216870069780678e-134,,0.0,0.0,4.864532694141587e-94,3.148645510961909e-08,1.8621405145352464e-53,1.8669563096867921e-59,,1.919292496125817e-104,8.722740051663467e-138,6.492097659774722e-23,0.0,1.160643446872025e-25,0.03535947484639248,0.0,4.9998038177537566e-06,1.919952178877102e-07,5.164979513462496e-26,2.1639006674897838e-11,5.225178268895302e-07,0.0,1.2807800444847903e-113,0.0020730777127085727,1.3810290889089344e-70,1.5296914565094275e-13,0.00014236852480301106,,4.082963237353848e-13,4.895062057345289e-19,,5.2672871207167394e-138,0.0,3.054403791195755e-143,0.0,0.0,0.0,0.0,5.809074479928919e-36,4.0504651516399736e-207,0.0,1.3842281393521048e-139,1.6312760845678904e-137,0.0,5.750953591466602e-10,0.4099063241665038,3.950808138693287e-22,2.9538014502571693e-18,0.0,4.074368934034275e-76,1.641471798851399e-70,3.078842213480806e-153,0.0,,0.0,1.125976067448789e-12,4.450250338982682e-168,6.249208978698008e-89,3.4461472472998928e-43,1.052178452799336e-49,0.07445537227990817,,1.0087498690431465e-106,1.1856246090124336e-76,0.0,1.289843519045584e-06
LUN106,8.74709181556963e-230,4.656517339401762e-308,,1.4093846299939458e-131,0.0,2.671725424901021e-93,3.665028713226621e-99,,0.0,0.0,2.324573537463871e-99,0.037662087893981504,1.1226449842749596e-83,6.465596097459383e-48,,1.8496591518252476e-140,6.422699584554605e-80,3.95497570870124e-24,0.0,2.3724927982245147e-21,0.004843680222895676,0.0,0.07512211204378007,0.08451389731033282,3.2924779813031927e-40,3.327556844577289e-22,0.0028925128448861253,1.5373656309749609e-304,1.0088704761278143e-126,0.11751222764587449,4.297137993614738e-67,6.731552584695752e-24,1.944524447499797e-09,,6.16210072373124e-08,2.6068821532331626e-11,,4.966736520156285e-205,0.0,4.658465217841707e-144,0.0,0.0,0.0,0.0,2.50438301852706e-38,5.818260250458769e-172,0.0,2.975829732427505e-134,3.4698873971332254e-168,0.0,0.0009159479034464149,0.002288955015986381,4.758069885616859e-13,6.680318960951654e-17,0.0,1.0840863469605082e-41,9.857098714216857e-88,1.699225806518839e-207,0.0,,3.023488924599235e-237,4.929592106747915e-05,8.24254379218717e-146,2.9264982593247836e-112,1.011568450262282e-24,2.7139806965473497e-31,1.5971946328606745e-05,,2.8204522752376697e-103,3.455043377777e-74,0.0,0.03731722136494438
LUN107,0.0,5.339974188131927e-183,,1.7793672291656494e-130,0.0,2.6319869721894918e-133,4.891267615725811e-84,,0.0,,8.197630501311266e-130,1.013108970636176e-15,7.833379777869268e-156,8.417002912012278e-71,,4.550941650598419e-135,1.5564494757300693e-69,2.121470018696046e-51,0.0,1.2308745413636738e-29,1.1752943494370362e-25,0.0,1.2715991558965204e-15,0.015737002875558535,1.4754600984339683e-78,2.4610682720586833e-55,0.2075254949203151,0.0,1.150622090808521e-178,7.640483562290232e-17,2.1943045746722603e-84,4.59931807099327e-66,4.224930089975959e-24,,0.09820167004167558,1.7621583739359735e-16,,2.0339814034718145e-270,0.0,2.963490139515129e-143,0.0,0.0,0.0,0.0,3.9801337025305216e-56,4.757882903633459e-298,0.0,0.0,1.740863853422166e-146,0.0,0.23932170515856993,2.2765047736657934e-08,4.4262616180298135e-05,3.773861215871301e-37,1.90862939227816e-182,6.308505380590697e-76,7.00919884460653e-107,0.0,0.0,,0.0,0.008412141355733075,3.751134911396689e-144,3.683727035968282e-255,3.567812407575319e-77,9.664479098649013e-27,9.743502115493755e-29,,1.194746820957905e-146,6.532795066270694e-62,0.0,0.6043768075398616
LUN108,2.6492267903020858e-216,0.0,,9.29415002645155e-148,0.0,2.8468757403629042e-99,1.3592814382097576e-140,,0.0,0.0,9.040246801882699e-104,3.712280257822551e-08,9.585399807142269e-79,3.864315493631685e-65,,1.776334322489371e-154,1.363796803225206e-120,1.1269213665744871e-32,0.0,1.72229933518921e-33,0.40272658443216225,0.0,0.00011355235273674705,4.001978552527716e-07,1.9936677082640467e-32,1.0371035190933256e-10,4.225736454843002e-09,1.3588067436912523e-295,7.721531880859135e-126,0.002310025262028436,2.662374606233161e-82,1.8075690025678678e-20,8.380890328372842e-07,,1.0690123280690913e-15,1.6623565978024497e-23,,1.5721288337353415e-179,0.0,4.434164670689275e-152,0.0,0.0,0.0,0.0,8.492344545284829e-47,6.201017635179275e-220,0.0,2.490854474200494e-120,5.688487362034946e-215,0.0,1.0946667478498121e-09,0.126391289921228,3.5363460617190604e-27,7.635575773997093e-22,0.0,6.380978070127652e-66,2.056375876710716e-89,2.396527669909435e-153,0.0,,1.4367784268934288e-303,2.463607259143556e-13,8.628471378471903e-176,2.0669325524575205e-87,1.8128427584050108e-57,6.296294547974405e-56,0.371762046649919,,1.8466318153554344e-117,3.697791383948243e-101,0.0,1.4386180591762153e-06
LUN109,5.036952388457971e-237,4.8087158888730176e-272,,9.415541099648128e-137,0.0,2.1864443062695305e-108,6.5165314149196805e-112,,0.0,,1.329744463680108e-177,0.015633103936353726,2.5795965708864223e-77,5.032849484980647e-60,,1.69348228147767e-125,2.3252572321577712e-79,5.087722670282536e-29,0.0,8.178697356440196e-27,3.536029490342356e-05,0.0,0.11594183396179157,0.3629989681126956,2.565914837099732e-46,4.625685139289224e-29,0.09493024679642231,0.0,1.5342445283212918e-165,0.026309724930980875,3.948447818304648e-75,2.477838467336777e-18,5.347985195469595e-08,,0.00013155209273699764,1.2339476985564486e-10,,2.1877447946908895e-173,0.0,2.804640982136623e-156,0.0,0.0,0.0,0.0,2.2314426028258727e-41,9.570151003232277e-201,0.0,2.0596857246408362e-150,4.9039091735836045e-142,0.0,0.022631904401337655,0.0018072362329761274,5.725538719002644e-06,4.0358206483598364e-19,0.0,5.96180558945684e-59,2.501830631401422e-89,1.2424064499749002e-189,0.0,,7.243729930457287e-254,0.005428174978264827,4.635919245361469e-128,9.991979692491164e-129,1.5134266341190178e-35,9.973686866593263e-31,2.265576061194845e-09,,1.683728321398754e-119,8.612102257842278e-63,0.0,0.12447218382939294
