ID	popLabel	validGT	missGTAdj	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20
Abkhazian:abh9	Abkhazian	168495	1.0006	-36720.566	-19517.409	16058.75	24104.355	-5547.863	-4326.997	-13822.704	-4717.736	-11164.164	-13748.743	-6525.163	14107.585	-4488.052	-2050.238	1938.358	4313.794	-5455.847	-6437.208	2961.296	3538.432
Abkhazian:abh24	Abkhazian	168580	1.0001	-37421.009	-19322.936	14544.89	19415.574	-5983.773	-2363.418	-8583.067	-5995.5	-10729.253	-15637.874	-9116.84	-596.198	-6506.53	22.513	3121.941	8805.899	-3764.95	-3008.671	381.842	-1109.976
Abkhazian:abh27	Abkhazian	168579	1.0001	-33853.977	-18650.98	14181.287	21483.723	-5865.423	-2077.99	-11170.503	-4354.786	-14666.902	-16411.476	-9045.371	6268.813	-4638.537	1445.588	2468.052	-1174.267	-1515.584	4802.976	2242.157	1877.355
Abkhazian:abh41	Abkhazian	168583	1.0001	-34037.888	-19752.677	15166.275	23441.285	-8155.334	-4773.88	-10943.73	-5250.745	-11871.18	-12288.955	-6391.154	7179.893	-3861.474	-2280.955	1825.645	4602.863	-1821.431	2134.936	795.017	2791.396
Abkhazian:abh45	Abkhazian	168557	1.0002	-35255.794	-18784.106	12636.224	21276.775	-7837.421	-3195.518	-11265.753	-8245.428	-10258.296	-12698.35	-7261.271	8871.809	-3574.428	-1800.041	2000.744	4565.617	-3175.664	-3890.892	4235.346	-2262.236
Abkhazian:abh53	Abkhazian	168575	1.0001	-34407.045	-20113.279	15356.275	20735.732	-5777.682	-4239.865	-15212.332	-4700.587	-10234.506	-12638.366	-5909.918	11582.87	732.906	-3820.725	1708.633	5878.233	1237.577	2524.265	1176.468	2664.505
Abkhazian:abh60	Abkhazian	168592	1	-35339.683	-19365.155	14870.962	22891.518	-7277.511	-2761.562	-9794.179	-2856.913	-12362.971	-16815.843	-2413.016	11461.242	814.374	1952.843	212.669	-443.127	-556.225	-4047.102	-3465.463	-1466.363
Abkhazian:abh71	Abkhazian	168592	1	-34440.031	-21126.089	17293.487	23426.731	-7672.097	-2978.146	-8726.583	-6590.307	-9345.392	-16658.606	-8110.355	11493.388	-4496.229	-4066.087	798.015	4561.213	-3308.993	-1037.262	4972.779	-2766.292
Abkhazian:abh74	Abkhazian	168595	1	-33772.578	-18808.005	14471.958	22595.41	-5894.376	-3666.646	-10338.59	-2879.028	-9261.189	-9777.841	-5483.712	7289.045	-4401.153	-5254.557	1141.103	2103.398	-1460.818	-2514.212	-1626.039	-565.381
Abkhazian:abh85	Abkhazian	168543	1.0003	-36433.54	-21793.545	15301.986	21162.855	-6024.156	-4213.513	-7088.367	-4998.031	-6670.009	-9684.538	-2813.022	3354.422	-3270.464	2075.259	2442.376	5426.296	-43.486	-2173.408	5855.263	3822.801
