ID	popLabel	validGT	missGTAdj	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	pc11	pc12	pc13	pc14	pc15	pc16	pc17	pc18	pc19	pc20
LUN100	LUN100	168595	1.0000	-2013.122	3983.868	664.177	-1280.603	-1224.658	-2310.308	-1335.378	-4414.980	-436.369	1968.377	-2736.753	1136.522	-2835.030	95.386	720.495	740.648	3667.750	-1213.266	6297.472	1602.988
LUN101	LUN101	168595	1.0000	18816.722	-23817.576	-3861.771	-4840.666	-4722.725	-1186.128	1095.993	-1523.758	3732.042	2602.419	1192.451	3254.945	478.534	794.822	1412.900	1511.389	3134.351	2974.043	8.637	4280.912
LUN102	LUN102	168595	1.0000	10618.162	2025.967	3088.883	3804.561	4650.752	3827.106	-4864.678	2229.536	-159.319	-842.868	-3378.634	-1575.367	-2482.264	1912.922	1239.460	-461.657	-2439.046	-144.523	3468.922	-1057.377
LUN103	LUN103	168595	1.0000	6358.806	1981.853	187.746	1720.844	3418.246	-2159.167	-1249.608	-3794.173	2186.580	-4087.228	-3638.888	1604.932	2003.527	224.146	676.719	59.020	-3643.770	-506.397	-171.266	-1048.229
LUN104	LUN104	168595	1.0000	6436.782	3278.206	3348.608	3327.788	2112.991	-2547.431	1128.714	-4056.214	1362.102	449.867	-1394.795	723.658	-2131.298	-1908.700	-3063.928	-214.111	1039.840	1954.647	-3708.979	-277.920
LUN105	LUN105	168595	1.0000	8819.261	722.320	1621.521	886.195	931.246	-619.634	240.060	246.300	978.076	1169.404	-661.487	1810.576	2859.624	8330.946	-1524.594	4325.683	3921.365	374.712	-4136.339	-1674.325
LUN106	LUN106	168595	1.0000	4783.873	4108.144	260.610	-1161.427	2522.581	-1197.489	-2132.887	-132.920	3447.990	279.607	-1703.291	-3800.608	-1036.430	4957.542	-216.191	-2603.509	-3425.053	1471.782	-2634.948	5829.910
LUN107	LUN107	168595	1.0000	3090.202	7425.605	-334.559	181.715	-9134.235	825.024	443.359	2902.426	1879.756	2376.587	-4799.405	-1395.801	4467.266	378.548	1626.558	-1611.502	-91.959	1941.380	749.508	4090.407
LUN108	LUN108	168595	1.0000	9331.167	2985.841	1089.593	867.678	5028.528	-404.004	-3099.219	4571.667	-865.819	-1724.326	583.032	6.582	2577.525	945.796	-5727.034	-2856.679	-4822.303	-2868.622	-731.692	-373.933
LUN109	LUN109	168595	1.0000	4806.652	4707.578	1018.631	1564.673	-935.330	-4602.679	2725.498	24.121	210.022	1272.919	-1217.628	4006.914	873.686	193.156	-3824.918	1154.324	3760.410	-998.558	-1288.987	-863.651
LUN110	LUN110	168595	1.0000	9659.926	2284.158	4273.347	2693.772	4952.050	-4824.019	-1743.388	4621.399	1851.187	-3388.450	-2292.235	451.341	3729.904	2061.268	-2279.535	-3560.332	2246.528	-1264.159	-5269.047	3912.972
LUN111	LUN111	168595	1.0000	8637.854	2575.939	-640.453	4683.146	3131.889	-4247.065	-1111.715	-2533.621	1115.856	1501.323	45.466	-4356.985	-4760.049	-139.780	-1345.095	-959.487	-483.589	-4308.913	-265.798	153.578
LUN113	LUN113	168595	1.0000	6553.756	151.036	2040.898	2500.942	4988.816	-4064.289	-119.122	1299.918	1183.639	-2479.307	4568.706	-149.838	2496.079	-10.517	1020.370	-196.023	-709.108	1033.674	1712.560	-1849.895
LUN114	LUN114	168595	1.0000	-18131.842	-3573.042	-1922.745	-157.860	1458.174	-974.218	4034.170	1929.973	5937.195	-1790.548	-3619.099	-1995.800	-1400.929	640.008	-4340.242	1706.341	1241.376	-165.076	1394.346	-2723.220
LUN115	LUN115	168595	1.0000	4962.562	4551.811	3659.686	3787.619	1180.099	-3176.143	577.710	3109.720	4177.517	341.917	-2311.992	-3196.079	2518.311	485.099	-2718.827	-187.899	984.982	272.875	-2149.247	-1542.037
LUN116	LUN116	168595	1.0000	9660.494	1769.455	2006.823	1678.321	2988.348	-263.123	-1896.661	106.865	3667.823	208.043	1133.416	-3670.077	1603.708	6344.762	-833.940	598.881	6540.074	4270.615	1259.232	1094.300
LUN117	LUN117	168595	1.0000	18164.931	-2884.795	5179.911	3594.871	8115.007	1590.255	-5520.619	16695.827	-1538.504	-6322.424	3095.054	-2750.050	1334.269	1503.714	4420.744	-2289.543	688.874	2368.572	-2911.146	-2643.381
LUN118	LUN118	168595	1.0000	10976.445	-1087.716	-785.922	4036.493	2712.477	637.913	-3430.033	2293.621	-558.250	-3878.218	-957.876	-2070.772	-2005.429	-2212.934	-3473.481	1925.263	3477.267	-2913.244	-2349.245	2842.938
LUN119	LUN119	168595	1.0000	8626.664	3752.132	4389.621	4251.572	4836.182	-3458.093	-2596.283	-2087.597	1944.504	-397.372	-5350.858	259.491	-3363.664	-303.586	-2251.080	1180.908	2737.198	2055.298	2.490	-1274.992
LUN120	LUN120	168595	1.0000	8732.725	2479.129	3780.817	2154.325	3951.588	-2652.460	1132.693	2835.052	-479.397	-3265.554	-492.764	5147.233	3161.652	2690.093	185.000	-1618.848	-68.851	6650.903	-517.459	-681.503
LUN121	LUN121	168595	1.0000	11702.921	203.244	297.211	4876.985	4478.571	-1514.324	-4682.890	1995.653	-1824.942	1918.359	-1479.181	3352.221	5518.022	1178.744	-1440.154	198.525	1300.768	-3706.725	-3400.583	649.960
LUN122	LUN122	168595	1.0000	8540.473	3731.122	800.594	980.350	3795.363	-4817.962	1330.907	1946.009	2850.197	-1023.899	607.074	-2487.669	392.734	-30.611	-2458.318	-2250.079	-1837.713	-2890.991	3392.075	-4988.974
LUN123	LUN123	168595	1.0000	8707.804	1831.328	1782.540	5203.976	5390.132	-402.126	-547.719	1483.899	1473.890	2599.863	1803.653	4410.112	-1551.536	2074.949	-4166.827	-1770.396	-2575.818	81.160	34.450	-112.687
LUN124	LUN124	168595	1.0000	1963.932	2437.617	-826.282	-311.848	3720.645	-3065.400	2191.471	-6786.943	-555.971	-2209.875	1176.554	2740.444	-2388.593	-1872.676	3101.153	3556.389	2898.860	3119.624	1202.036	-2939.004
