,Abkhazian,Adyghe,Albanian,Armenian,Azeri,Balkar,Basque_France,Basque_France_inferred,Basque_Spain,Basque_Spain_inferred,Belarusian,Belgian,Bosniak,Bulgarian,Canary_Islander,Chechen,Corsican,Croatian,Cypriot,Czech,Danish,Druze,Dutch,English,Estonian,Finnish,French,Gagauz,Georgian,German,Greek,Hungarian,Icelandic,Ingrian,Irish,Italian,Kabardian,Karelian,Kosovan,Kumyk,Lak_Dagestan,Latvian,Lebanese_Christian,Lezgin,Lithuanian,Macedonian,Moldovan,Montenegrin,Mordvin,North_Ossetian,Northern_Irish,Norwegian,Orcadian,Polish,Portuguese,Romanian,Russian,Saami_Finland_inferred,Saami_Norway_inferred,Saami_Sweden_inferred,Sardinian,Scottish,Serbian,Slovakian,Slovenian,Spanish,Swedish,Tabasaran,Turkish,Ukrainian,Veps,Welsh
LUN100,33.14288962846579,32.443159535448395,,22.7834478504698,40.369803061379436,22.641329863865828,18.653058544482366,,1397151182.352204,,22.074173463543264,3.0599126276695268,21.372544980506834,13.574275235279668,,24.250066093381914,13.410523887478785,10.4809917516549,47.710081434451475,9.402970670102492,8.791063296259988,45.38049306394395,3.9654407007570285,4.801391515366906,16.693735426994106,15.781126634519483,2.183031087804765,34.45298036157862,24.575150717462254,3.774636016412113,16.689079663925508,12.648323976063319,11.946562490278364,,6.9585291353459215,5.896072120994146,,32.916647823073745,55.81371171391813,24.2115493791713,64.53517953621383,266416364.72135025,38.71086329715572,37.906829183694285,13.581936243112708,24.202813452746405,153248428.21640477,35.19230690812133,23.86798998309243,46.32290985132476,6.322035847881953,7.831077024479385,9.791351601675471,9.948417951367668,45.09382375537066,11.952767529258931,20.52171017422495,37.65011344936622,87900583.76612327,,29.948411889952443,7.964915201501514,22.008696854321744,23.824909919165158,9.116275718892355,9.072909320556601,10.574855730984035,,20.62590547349904,15.349524442100359,52.23902806471847,4.666166547765693
LUN101,16.5499657348009,11.845406739928174,,12.39564667695283,63.17985991602722,18.235808232421196,50.904702439966535,,1036525714.1847599,,43.42792708505806,29.445636540917523,36.9536305958219,28.79079215269516,,21.038971098934358,65.10548243678508,24.591058825454212,78.43298718480037,21.28429483256102,23.944815554263087,64.88075073847538,28.73661531260104,31.38288910001087,4.834183975308899,9.646869832197394,28.13460929562935,50.06749515069572,16.99345443452833,19.31947115562168,22.768985677421345,23.589807438020337,25.355186394015806,15113771.354110993,30.293404235207422,27.47469681079728,,5.997648683881925,58.81927947068061,30.713691453459848,76.05897012989642,49156732.8341005,51.48934619210037,40.67270171642782,17.980447280967365,22.196636366805443,413396517.5056806,30.695686673188725,17.79031773252873,42.068368490587474,34.06813631355186,14.247365274232603,39.12333575442014,17.68942835629544,81.53062542416096,35.77682046366794,6.444097085860073,14.400834522915956,213961871.27622414,,59.315632501114074,35.500106078438854,50.11640886461267,28.271969811889747,24.35286502390403,34.3764596400837,10.59887533231062,,21.94910748716622,18.525811032379128,6.576807523867287,33.03242433900516
LUN102,31.71539222138476,39.861429039134116,,26.72950033382768,53.426793720029785,22.645487427936022,27.598835756489343,,2748008697.0680394,743649499.5785601,21.64118167186221,9.501362624890177,21.883759512989435,19.379340261835697,,28.66322462296713,24.628467139706398,15.266408371512732,80.06369367177608,14.433783608110984,5.185000509805071,57.8920365912487,8.100329532424613,9.010743391097,13.822732593542474,7.677713431541687,9.551007507835862,34.57970179912211,23.46328137728737,7.455284491784382,21.664244480932247,9.619099459553151,6.040166282467138,,11.222646652160055,13.828161346368491,,29.287803876437625,80.21972252852424,26.036664373446445,91.19277769871894,235396974.06256926,47.91544013035463,42.99577078215457,16.07142482748606,38.203001049518,167281842.3342659,28.14434698587821,31.698528011469843,52.14301662358859,9.734466093852667,2.841018227980286,14.366391718486529,12.372050157845948,65.13516208252194,21.936440459018602,21.288036367918018,29.860981966482235,15974768.318717564,,42.88284506333349,12.723173032966212,29.889689892762185,20.138033865203347,21.073297269361564,19.09169216370346,3.1171672810192748,,25.386606273102167,24.68843689238883,60.03489780352408,9.26491114794937
LUN103,29.561363014777154,37.45490190842304,,24.229408548439682,47.72462924925542,19.93737856186818,24.742779027844158,,2176821228.8612385,535554092.27810436,22.568298544243355,4.795022880194487,17.356739331170647,15.631525828688504,,24.53934783902379,21.896785510036143,11.01425483189294,64.44519285121424,10.905938155742154,2.3478073592440665,52.594049172201416,3.5112867870883564,4.875718730745759,12.551388917302516,8.75139166416763,5.430108542572518,34.919536602837724,23.584487683665554,2.235846073575304,17.973317225329055,8.128481644749932,6.464886264677392,,7.658574534005127,9.32627041664508,,26.66607070328651,73.13334126878758,25.60917712368627,73.72694298105222,109521467.74465756,46.379276986605916,41.181053682913856,13.361680610110524,28.070041298375678,100229593.58797762,21.04685804921285,27.134927509265005,50.78801672346222,5.8995831450011655,3.9593850796008763,10.26976475894988,8.808751496642468,69.849580246635,15.65925939461592,19.02522692783129,27.563347944594277,6660549.872126327,,35.42724336231547,6.41868650461196,23.888026164887215,17.305938399816103,15.007079815788778,14.768966597665475,3.9484153564685927,,21.377262285804633,18.258243299898666,51.29487483905317,4.706998053859594
LUN104,32.24049028323586,38.11958300202855,,26.093760023617705,45.99526688723972,22.636153376552894,25.212673390592112,,2253945624.622372,379084247.2465755,26.516861503968638,4.584100194086879,20.314504881698337,17.811872490735,,24.913372878808094,20.69186728281366,12.723451188420116,63.45220241081677,13.147384462735966,2.649133103461694,51.344353134316286,2.801813341562374,4.270940620023122,13.433495483783236,9.763080902735279,4.938275393018912,35.617267969545395,26.355989884047045,3.153061196337543,20.217200777392133,8.78635002097956,5.185045694490133,,7.012194410470483,9.932242182271318,,27.330179722789417,81.42330595845931,26.65238349685151,70.5577021015941,65352994.31968348,46.540334571021624,40.656389201319676,14.651599574078514,33.01849404647525,141713414.51263863,27.22137208227739,27.397266465506693,51.245807564654704,5.578389831750193,3.25512977537986,8.910465384254774,10.117987850537919,75.53321745401595,19.30675445249079,20.78915340592939,30.115730301016722,38152303.8337955,,35.939890152982294,6.153256411830332,25.846797407306404,19.507672720760453,19.060196651924215,15.084216979122582,4.540134911607474,,24.80123751773127,19.81009021854088,55.47498202941418,4.129961785796423
LUN105,30.443619753300496,33.70692559738538,,23.189083003441937,49.117943848109164,20.479971893856604,25.360998450627797,,2110949320.5917907,460003883.0847099,21.318350847847118,6.947883561409288,16.275669462027654,17.11794960170421,,22.42516094624676,25.6470944326446,10.970200731843725,66.01284208079468,11.554637929995373,3.8794770931252316,53.87664183234674,6.070718599011372,6.651335494670203,11.62714908996743,8.013314967860182,6.479898885051195,38.81992538890399,23.356988642139665,4.744552650649598,18.57677889345419,8.652283821999056,5.3887352184191295,,8.529947482097768,10.08271477542906,,25.666904495544387,76.77200377042351,26.135918585188417,74.77575523303858,155082989.39278707,46.36646235570743,41.46794351030481,13.508810623215133,31.289742800112947,229461778.92871714,25.80936037711942,25.62248728070175,49.438039442498585,7.5554263564330375,2.6804281533651024,10.797088056856996,9.893461669145546,65.54668221890867,19.259355759186928,18.567340490298445,27.008321245603742,18542371.858782403,,38.62546501201477,8.401406207366875,28.253133748056797,20.75277326710737,14.717915736734138,15.7250435969671,3.5923628912774426,,22.66028607744686,19.324210547159556,47.20630934553296,6.320181588388548
LUN106,32.92316833364677,38.024167799618056,,25.079065999594377,48.00488398319997,21.237408808884016,21.870500872423175,,1848063892.0733576,466369062.46476746,21.891527513375735,3.8565545131972465,20.15412629353498,15.455388094715104,,25.887811712269762,19.714604056187255,11.232734586069267,63.10310682042031,10.622216362830077,4.512129817937975,52.73630913258451,3.5886766067424345,3.539313415297476,14.23237585286957,10.81367464927515,4.655366193349063,37.809741842567334,24.62560596581555,3.3940272913295875,18.13201797326833,11.183349588245362,7.376819744176295,,6.839576203717249,7.988131953835609,,31.13487249247099,70.4737488159258,26.208296030095354,77.85628723085215,245550096.38011414,45.06351066309679,42.1473153074389,13.916730127517697,28.569833020560353,175021699.32730928,25.32543726420959,28.26199517167259,51.20548720370439,4.95358487822812,4.7182859719374335,8.510699428996922,9.555253385328989,53.894839918579976,14.47603518565829,20.617857220144312,31.31763423730274,46728160.83889238,,33.44326955556814,5.616559975235895,26.362900486866845,23.221392417335164,11.358286368685679,12.662738567726231,5.8459531725949665,,22.303783012729752,19.02419577148892,53.476810256007376,3.8599112413369
LUN107,39.36714499865254,29.45109276714774,,24.976939312474133,42.99282737109963,25.238540104791532,20.195816682553225,,2221601019.607145,,24.915209351407015,9.249143313205563,27.23010845084355,18.603803020248655,,25.40005212139119,18.443998314953273,15.976297860080626,53.150008091701494,12.347766896935545,11.553510661518594,49.32724569849,9.223045134923174,4.155692618530122,19.55287873692955,16.544258120094508,3.1110571246652112,54.47359099624864,29.108315868699652,9.540390726320739,20.2359566710065,17.99876889312904,11.226616065466851,,3.4745416745361353,9.447322018980469,,35.66310853235572,70.50222906891047,26.137083197136377,69.30069182638957,429794648.9154107,43.039449823429806,43.84710922909792,16.65602124285043,37.41096379893234,314904949.6998453,46.264865251237985,26.42224055929767,48.96654224964454,3.0314521541964066,6.9994739793597995,5.639013445457182,13.715164416408486,29.407560386269132,19.236333386613982,22.6765041105407,39.11447775647358,149366581.88198188,,43.27043155211647,4.350766630899219,26.216620732068062,34.659876213217444,19.38708925474356,11.775727708210802,12.173298565375623,,26.436586446255056,17.450669597711165,41.341466041486434,2.3360198144308892
LUN108,31.961785699430056,41.35110574816786,,26.533697502287637,52.398589780958936,21.88216963780774,25.89979730655206,,2242283407.546868,722922426.0147884,22.35525185459008,6.921511069055812,19.575215247095485,17.878254815640084,,27.114455606491486,24.040526650431968,12.919211436550247,73.5255489719005,13.06813298099582,2.6936858065163403,57.03602709899084,5.438391911696654,6.526111643523117,12.873621384401906,7.798464296404146,7.260298571504949,37.2589645543826,24.54213243144656,4.7158455314721675,19.99443471603438,10.420257410519998,6.3970102921810374,,9.242982390286977,11.09885898465411,,29.177019837006775,80.44856270972562,26.90869415537888,86.04240870333169,189769193.61503023,48.70721106779026,43.60708658954568,15.284243705124213,32.223546368729934,150836794.99862573,24.01523948627341,31.865216484283614,53.5743608891887,7.461687256324969,3.3603137550614925,11.86389513710006,10.733171621351362,66.40245064480035,17.98028486399764,20.806886798805508,27.017659585374965,187211.60479751148,,37.75037815591245,8.593147125137445,28.878627924983626,20.581485504431935,16.8437625462319,16.627958732079744,2.7518777726001784,,23.73601062230868,22.081827668870424,55.42447441043498,6.30054297922182
LUN109,33.427936240513596,35.76836879367897,,25.553452989188322,43.757381833854154,22.830380387375197,23.186570323331797,,2016185274.917941,,29.023618724231333,4.1578317953795,19.404034610299004,17.195668213507894,,24.509843418571677,19.648383821596486,12.22837985133113,55.618864606722646,11.790415432217468,5.685452121751481,49.81018096625022,3.4001855126037723,2.7686880023194016,15.21014318827087,12.236428258218949,3.48935432486592,45.29797511405545,28.044248607914994,3.98399598939475,19.139443143728485,9.912137381234434,6.862605687869796,,5.406154672601201,7.774211563938193,,28.685134955458715,78.06052920742185,27.26805699478656,65.25878104098055,95563986.73208311,46.237964046863745,41.63356552551263,14.424864035815679,30.814682800260417,160338063.9577159,26.76466951937868,26.028699285570095,50.99066880993802,4.0355343921968565,4.780595829415891,6.0450405655402815,10.102805742698829,67.08737170121663,17.048808647412887,20.797351284352676,29.968114090140645,69779758.92153797,,34.573465344515405,4.479545983681331,24.75139565047797,24.813826175660353,13.435745262699863,12.556212311701753,7.354052771387587,,23.934835874700745,17.56829852879021,47.184616909758525,3.3674484870280876
